PPD,reason
Alabama ERS,Alabama Employees' Retirement System (ERS)
Alabama Teachers,Alabama Teachers' Retirement System (TRS)
Alaska PERS,Alaska Public Employees Retirement System
Alaska Teachers,Alaska Teachers Retirement System
Arizona Public Safety,Arizona Public Safety Personnel Retirement System
Arizona SRS,Arizona State Retirement System
Arizona State Corrections Officers,Arizona Corrections Officers Retirement Plan
Arkansas PERS,Arkansas Public Employees System
Arkansas Teachers,Arkansas Teachers Retirement Plan
California PERF,CalPERS - California Public Employees Retirement Fund
California Teachers,California State Teachers Retirement System
Colorado Municipal,"Colorado PERA, Local Division Fund"
Colorado School,"Colorado PERA, School Division Fund"
Colorado State,"Colorado PERA, State Division Fund"
Connecticut Municipal,Connecticut Municipal Employees Retirement Plan
Connecticut SERS,Connecticut State Employees Retirement System
Connecticut Teachers,Connecticut Teachers Retirement System
Delaware State Employees,Delaware State Employees’ Pension Plan
Florida RS,Florida Retirement System
Georgia ERS,Georgia Employees’ Retirement System
Georgia Teachers,Georgia Teachers Retirement System
Hawaii ERS,Employee Retirement System of Hawaii
Idaho PERS,Idaho Public Employee Retirement System
Illinois Municipal,Illinois Municipal Employees Retirement System
Illinois SERS,Illinois State Employees Retirement System
Illinois Teachers,Illinois Teachers Retirement System
Illinois Universities,Illinois State University Retirement System
Indiana PERF,Indiana Public Employees Retirement Fund
Indiana Teachers,Illinois Teachers Retirement System
Iowa Municipal Fire and Police,Iowa Municipal Fire and Police Retirement System
Iowa PERS,Iowa Public Employees' Retirement System
Kansas PERS,Kansas Public Employees' Retirement System
Kentucky County,Kentucky County Employees Retirement System
Kentucky ERS,Kentucky Employees Retirement System
Kentucky Teachers,Kentucky Teachers' Retirement System
Louisiana Municipal Police,Louisiana Municipal Police Retirement System
Louisiana Parochial Employees,Louisiana Parochial Employee Retirement System
Louisiana Schools,Louisiana School Employees’ Retirement System
Louisiana SERS,Louisiana State Employees Retirement System
Louisiana Teachers,Teachers’ Retirement System of Louisiana
Maine Local,Maine Public Employees Retirement System - Consolidated Plan for Participating Local Districts
Maine State and Teacher,Maine Public Employees Retirement System (PERS) Defined Benefit Plan
Maryland PERS,Maryland State Employees’ Retirement System
Maryland Teachers,Maryland Teachers’ Retirement System
Massachusetts SRS,Massachusetts State Employees’ Retirement System
Massachusetts Teachers,Massachusetts Teachers’ Retirement System
Michigan Municipal,Michigan Municipal Retirement System
Michigan Public Schools,Michigan Public School Employees Retirement System
Michigan SERS,Michigan State Employees Retirement System
Minnesota GERF,Minnesota Public Employees Retirement Association (MPERA) General Employees Retirement Fund
Minnesota Police and Fire,Minnesota Public Employees Retirement Association (MPERA) Police and Fire Fund
Minnesota State Employees,Minnesota State Retirement System (MSRS) General State Employees Retirement Plan
Minnesota Teachers,Minnesota Teachers Retirement Association
Mississippi PERS,Public Employees' Retirement System of Mississippi
Missouri DOT and Highway,Missouri MoDOT & Patrol Employees’ Retirement System
Missouri Local,Missouri Local Government Employees Retirement System
Missouri PEERS,Missouri Public Education Employee Retirement System
Missouri State Employees,Montana Public Employees’ Retirement System - Defined Benefit Retirement Plan
Missouri Teachers,Missouri Public School Retirement System
Montana PERS,Montana Public Employees’ Retirement System - Defined Benefit Retirement Plan
Montana Teachers,Montana Teachers' Retirement System
Nebraska Schools,Nebraska School Retirement System
Nevada Police Officer and Firefighter,Public Employees Retirement System of Nevada - Police and Firefighters Plan
Nevada Regular Employees,Nevada Public Employees Retirement System
New Hampshire RS,New Hampshire Retirement System
New Jersey PERS,New Jersey Public Employees Retirement System
New Jersey Police & Fire,Police & Firemens Retirement System Of New Jersey
New Jersey Teachers,New Jersey Teachers’ Pension & Annuity Fund
New Mexico Educational,New Mexico Educational Retirement Board
New Mexico PERA,New Mexico Public Employees Retirement Association
New York State Teachers,New York State Teachers' Retirement System
North Carolina Local Government,North Carolina Local Government Retirement System
North Carolina Teachers and State Employees,North Carolina Teachers' and State Employees' Retirement System
North Dakota PERS,North Dakota Public Employees Retirement System
North Dakota Teachers,North Dakota Teachers' Fund for Retirement
NY State & Local ERS,New York State & Local Employees Retirement System
NY State & Local Police & Fire,New York State & Local Police & Fire Retirement System
Ohio PERS,Ohio Public Employees Retirement System (OPERS) Traditional Defined Benefit Pension Plan
Ohio Police & Fire,Ohio Police and Fire Pension Fund
Ohio School Employees,Ohio School Employees Retirement System
Ohio Teachers,Ohio State Teachers Retirement System
Oklahoma PERS,Oklahoma Public Employees Retirement System
Oklahoma Police,Oklahoma Police Pension and Retirement System
Oklahoma Teachers,Oklahoma Teachers Retirement System
Oregon PERS,Oregon Public Employees Retirement System
Pennsylvania Municipal,Pennsylvania Municipal Retirement System
Pennsylvania School Employees,Pennsylvania Public School Employees' Retirement System
Pennsylvania State ERS,Pennsylvania State Employees' Retirement System
Rhode Island ERS,Rhode Island Employees Retirement System
Rhode Island Municipal,Rhode Island Municipal Employees Retirement System
South Carolina Police,South Carolina Police Officers Retirement System
South Carolina RS,South Carolina Retirement Systems
South Dakota RS,South Dakota Retirement System
Texas County & District,Texas County and District Retirement System
Texas ERS,Texas Employees Retirement System
Texas LECOS,"Tennessee Consolidated Retirement System, Public Employee Retirement System"
Texas Municipal,Texas Municipal Retirement System
Texas Teachers,Texas Teacher Retirement System
TN Political Subdivisions,"Tennessee Consolidated Retirement System, Public Employee Retirement System"
TN State and Teachers,"Tennessee Consolidated Retirement System, Teachers Pension Plan"
University of California,University of California Retirement System
Utah Noncontributory,"Utah Retirement Systems, Noncontributory Retirement System"
Utah Public Safety,"Utah Retirement Systems, Public Safety Retirement System"
Vermont State Employees,Vermont State Retirement System
Vermont Teachers,Vermont State Teachers' Retirement System
Virginia RS,Virginia Retirement System
Washington LEOFF Plan 2,Washington Law Enforcement Officers’ and Firefighters Retirement System Plan 2
Washington PERS 2/3,Washington State Patrol Retirement System
Washington School Employees Plan 2/3,Washington School Employees’ Retirement System
Washington Teachers Plan 2/3,Washington Teachers Retirement System Plan 2 & 3
West Virginia PERS,West Virginia Public Employees Retirement System
West Virginia Teachers,West Virginia Teachers’ Retirement System
Wisconsin RS,Wisconsin Retirement System
Wyoming Public Employees,"Wyoming Retirement System, Public Employees’ Pension Plan"